,0,1,2,3,4,5
3867,1641587400,3190.51,3214.75,3190.51,3206.17,134.19011436
3868,1641586500,3183.34,3200.91,3193.79,3191.4,120.66024399
3869,1641585600,3192.79,3213.08,3198.17,3195.62,109.1825033
3870,1641584700,3181.59,3202.63,3184.13,3196.43,142.6444218
3871,1641583800,3169.89,3187.94,3173.81,3184.28,171.82746675
3872,1641582900,3147.11,3174.01,3147.11,3174.01,72.15891245
3873,1641582000,3144.3,3175.95,3175.95,3146.28,107.90925197
3874,1641581100,3156.67,3175.06,3172.24,3175.06,101.56153345
3875,1641580200,3172.24,3189.89,3175.81,3173.31,92.16186491
3876,1641579300,3174.26,3207.58,3207.18,3175.37,93.88936898
3877,1641578400,3194.86,3209.7,3202.17,3204.34,128.31497583
3878,1641577500,3184.88,3203.24,3184.88,3202.69,101.35378827
3879,1641576600,3172.89,3189.66,3189.12,3184.35,117.29152246
3880,1641575700,3182.21,3205.16,3205.0,3190.54,130.30934289
3881,1641574800,3195.61,3214.33,3214.33,3201.61,164.80267761
3882,1641573900,3182.65,3222.29,3188.8,3214.83,132.15241649
3883,1641573000,3168.1,3196.44,3171.89,3192.23,78.47111651
3884,1641572100,3090.42,3175.61,3124.25,3172.86,148.91935287
3885,1641571200,3114.55,3157.79,3134.91,3125.42,154.34364239
3886,1641570300,3066.87,3145.95,3143.44,3132.42,350.03328832
3887,1641569400,3134.74,3183.65,3177.55,3141.6,106.95074636
3888,1641568500,3162.89,3182.03,3172.69,3175.47,154.95664903
3889,1641567600,3169.39,3208.72,3208.72,3176.59,85.2888974
3890,1641566700,3206.06,3225.52,3222.29,3206.62,138.18054181
3891,1641565800,3181.86,3222.0,3213.24,3220.23,143.03662217
3892,1641564900,3194.52,3214.31,3196.0,3212.37,122.41820513
3893,1641564000,3159.4,3199.62,3171.7,3198.74,132.80438838
3894,1641563100,3150.0,3186.03,3162.02,3164.62,142.90951352
3895,1641562200,3113.51,3273.9,3237.16,3159.01,491.63222155
3896,1641561300,3211.81,3230.66,3217.77,3230.66,109.13216702
3897,1641560400,3212.15,3246.15,3240.85,3217.98,174.09790689
3898,1641559500,3235.0,3252.67,3247.4,3239.5,85.90067112
3899,1641558600,3245.37,3264.05,3256.46,3249.34,66.73737108
3900,1641557700,3244.14,3257.56,3249.44,3256.35,70.24177935
3901,1641556800,3226.71,3249.12,3226.71,3247.0,137.8871357
3902,1641555900,3219.46,3233.89,3227.79,3224.71,51.96017459
3903,1641555000,3214.02,3225.77,3221.66,3223.75,111.96869292
3904,1641554100,3220.33,3234.07,3220.33,3226.3,99.37653088
3905,1641553200,3215.22,3230.49,3217.02,3223.7,63.32686743
3906,1641552300,3215.85,3245.92,3238.06,3216.34,106.91052798
3907,1641551400,3233.48,3245.38,3243.25,3239.21,81.54141004
3908,1641550500,3242.69,3257.75,3256.77,3245.34,131.16369205
3909,1641549600,3245.92,3264.45,3249.28,3257.84,120.28197523
3910,1641548700,3245.61,3258.02,3250.83,3248.81,76.13414476
3911,1641547800,3251.83,3274.13,3261.65,3251.83,129.87472403
3912,1641546900,3242.76,3268.33,3250.13,3261.98,152.06056248
3913,1641546000,3229.55,3251.73,3232.02,3250.35,123.74488612
3914,1641545100,3226.61,3239.68,3234.79,3228.13,123.13764898
3915,1641544200,3223.23,3256.52,3247.38,3232.38,115.8947577
3916,1641543300,3188.55,3293.0,3193.43,3238.58,265.13027505
3917,1641542400,3187.93,3216.26,3200.09,3199.28,159.31045421
3918,1641541500,3164.26,3204.8,3167.14,3201.52,120.21243409
3919,1641540600,3160.72,3186.58,3179.69,3165.27,93.33187722
3920,1641539700,3116.45,3180.01,3118.19,3180.01,144.00989536
3921,1641538800,3113.12,3165.87,3165.87,3119.07,201.09316126
3922,1641537900,3151.35,3173.04,3163.31,3167.48,118.46489134
3923,1641537000,3154.71,3199.9,3184.35,3164.1,123.44059099
3924,1641536100,3186.1,3206.21,3206.21,3190.4,91.9051122
3925,1641535200,3199.99,3234.59,3234.41,3205.78,127.84060166
3926,1641534300,3217.76,3237.96,3229.53,3234.62,98.4700683
3927,1641533400,3226.74,3247.15,3236.21,3227.3,163.35247834
3928,1641532500,3227.51,3244.24,3229.23,3233.02,177.83671748
3929,1641531600,3210.16,3231.58,3221.08,3227.83,145.81442598
3930,1641530700,3182.87,3221.08,3185.41,3219.7,281.4850172
